,city,country,lat,lon,max_temp (F),humidity (%),cloudiness (%),wind_speed (mph),date
0,Avarua,CK,-21.2078,-159.775,78.85,78,75,10.36,1627954450
1,Qaanaaq,GL,77.484,-69.3632,43.48,70,78,2.66,1627954454
2,Rikitea,PF,-23.1203,-134.9692,69.6,57,44,21,1627954463
3,Vestmannaeyjar,IS,63.4427,-20.2734,52.43,83,100,5.3,1627954399
4,Beringovskiy,RU,63.05,179.3167,44.19,94,100,8.66,1627954426
5,Deputatsky,RU,69.3,139.9,53.46,40,59,11.3,1627954396
7,Vaini,TO,-21.2,-175.2,75.36,69,20,12.66,1627954500
8,Panguipulli,CL,-39.6333,-72.3333,45.59,98,30,2.57,1627954502
9,Rocha,UY,-34.4833,-54.3333,44.28,92,0,1.99,1627954384
11,Vao,NC,-22.6667,167.4833,66.85,67,0,6.2,1627954365
12,Busselton,AU,-33.65,115.3333,50.04,78,100,6.6,1627954356
13,Nikolskoye,RU,59.7035,30.7861,60.03,96,100,13.53,1627954379
15,Cabo San Lucas,MX,22.8909,-109.9124,95.5,60,20,10,1627954244
16,Georgetown,SH,-7.9333,-14.4167,75.54,77,83,15.95,1627954546
17,Sitka,US,57.0531,-135.33,62.49,72,75,0,1627954405
18,Vitim,RU,59.4511,112.5578,65.41,69,97,1.16,1627954554
19,Athabasca,CA,54.7169,-113.2854,73.22,51,100,11.95,1627954563
20,Port Lincoln,AU,-34.7333,135.8667,55.49,54,68,17.85,1627954570
22,Provideniya,RU,64.3833,-173.3,53.71,82,90,13.42,1627954175
23,Bandarbeyla,SO,9.4942,50.8122,79.27,63,80,29.12,1627954265
24,Mayo,CA,63.5927,-135.8998,89.6,20,20,4.61,1627954593
25,La Ronge,CA,55.1001,-105.2842,79.05,38,90,3.44,1627954598
26,Hobart,AU,-42.8794,147.3294,53.11,75,75,5.01,1627954367
27,Leningradskiy,RU,69.3833,178.4167,33.1,100,100,9.4,1627954401
28,Yellowknife,CA,62.456,-114.3525,88.32,27,75,8.05,1627954617
29,Port Alfred,ZA,-33.5906,26.891,54.86,86,0,13.51,1627954627
30,Atuona,PF,-9.8,-139.0333,77.5,74,3,17.96,1627954635
31,Jamestown,SH,-15.9387,-5.7168,62.67,63,0,7.05,1627954643
32,Narsaq,GL,60.9167,-46.05,48.42,96,100,3.67,1627954648
33,Moultonborough,US,43.7548,-71.3967,63.54,84,0,1.01,1627954653
34,Dingle,IE,52.1408,-10.2689,56.34,90,100,3.58,1627954660
35,Saldanha,ZA,-33.0117,17.9442,48.25,66,0,4.03,1627954665
36,Bluff,NZ,-46.6,168.3333,49.8,58,19,7.18,1627954671
37,Katsuura,JP,35.1333,140.3,91.51,75,46,10.69,1627954673
38,Chui,UY,-33.6971,-53.4616,48.04,95,0,5.17,1627954409
39,Puerto Ayora,EC,-0.7393,-90.3518,70.61,92,40,8.21,1627954408
40,Kouango,CF,4.9934,19.9619,70,93,100,1.19,1627954689
41,Matiguás,NI,12.8373,-85.4622,72.84,95,100,3.76,1627954699
42,Cape Town,ZA,-33.9258,18.4232,56.12,95,0,3.44,1627954599
43,Tiksi,RU,71.6872,128.8694,50.05,59,64,7.94,1627954434
44,Castro,CL,-42.4721,-73.7732,49.48,100,90,0,1627954713
45,Henties Bay,NA,-22.116,14.2845,56.86,82,0,9.44,1627954488
46,Newport,US,41.4901,-71.3128,70.92,74,1,0,1627954728
47,Kamenka,RU,51.3223,42.7678,72.91,50,6,4.5,1627954736
48,Elliot Lake,CA,46.3834,-82.6331,64.49,82,19,6.58,1627954740
49,Bengkulu,ID,-3.8004,102.2655,80.69,72,77,2.48,1627954747
51,San Rafael del Sur,NI,11.8485,-86.4384,77.97,75,96,9.42,1627954754
52,Lüderitz,NA,-26.6481,15.1594,66.07,35,0,4.47,1627954532
53,Turan,VN,16.0678,108.2208,93.25,49,75,3.44,1627954528
54,Lebu,CL,-37.6167,-73.65,51.39,86,29,16.75,1627954774
55,Barrow,US,71.2906,-156.7887,44.62,87,90,16.11,1627954778
56,Dwārka,IN,22.2394,68.9678,81.86,82,100,20.36,1627954780
57,New Norfolk,AU,-42.7826,147.0587,52.75,74,97,1.01,1627954782
58,Saint-Pierre,RE,-21.3393,55.4781,67.68,60,90,8.05,1627954575
59,Saint Paul Harbor,US,57.79,-152.4072,56.62,80,5,6.51,1627954791
60,Chumikan,RU,54.7183,135.315,51.73,97,100,15.05,1627954795
61,East London,ZA,-33.0153,27.9116,57.97,80,1,16.73,1627954804
62,Xining,CN,36.6167,101.7667,56.8,94,100,3.4,1627954813
64,Morehead,PG,-8.7107,141.6367,85.53,50,57,6.33,1627954826
65,Carnarvon,AU,-24.8667,113.6333,55.47,37,0,16.11,1627954830
67,Chengdu,CN,30.6667,104.0667,85.89,58,0,4.47,1627954810
68,Hermanus,ZA,-34.4187,19.2345,55.9,79,0,9.01,1627954847
69,Nhulunbuy,AU,-12.2333,136.7667,83.01,61,40,12.66,1627954847
70,San Angelo,US,31.4638,-100.437,83.64,53,20,5.01,1627954845
71,Ushuaia,AR,-54.8,-68.3,37.06,87,75,28.77,1627954851
72,Kaitangata,NZ,-46.2817,169.8464,51.93,53,36,10.67,1627954853
73,Turukhansk,RU,65.8167,87.9833,70.38,56,100,12.17,1627954854
74,Uglegorsk,RU,49.0833,142.0333,68.23,66,39,6.4,1627954861
75,Kapaa,US,22.0752,-159.319,87.78,72,75,4,1627954817
76,Luanda,AO,-8.8368,13.2343,69.6,88,1,4.88,1627954877
77,Hilo,US,19.7297,-155.09,78.53,82,90,10.36,1627954884
78,Thompson,CA,55.7435,-97.8558,75.36,43,20,3.44,1627954887
79,Tura,RU,64.2833,100.25,71.28,46,100,7.29,1627954890
80,Salina,US,38.8403,-97.6114,80.73,46,1,6.91,1627954804
81,Dukhovnitskoye,RU,52.4828,48.2137,73.63,59,2,3.85,1627954893
82,Udachny,RU,66.4167,112.4,76.23,36,100,16.67,1627954901
83,Coquimbo,CL,-29.9533,-71.3436,55.13,87,90,4.61,1627954800
84,Butaritari,KI,3.0707,172.7902,82.11,72,40,2.93,1627954906
85,Kavieng,PG,-2.5744,150.7967,83.62,75,29,9.42,1627954911
87,Dikson,RU,73.5069,80.5464,50.88,81,100,8.03,1627954926
88,Upernavik,GL,72.7868,-56.1549,47.14,68,95,6.2,1627954929
89,Porbandar,IN,21.6422,69.6093,81.57,84,100,19.1,1627954933
90,Touros,BR,-5.1989,-35.4608,72.5,86,16,15.17,1627954935
91,Lewistown,US,40.5992,-77.5714,68.74,77,1,0,1627954942
92,Yeppoon,AU,-23.1333,150.7333,74.98,54,0,11.39,1627954947
93,Tadine,NC,-21.55,167.8833,71.65,61,2,9.82,1627954954
94,Yar-Sale,RU,66.8333,70.8333,60.31,80,100,2.98,1627954957
95,Albany,AU,-35.0169,117.8917,52.23,82,90,13.8,1627954958
96,Solnechnyy,RU,50.7214,136.6319,65.28,76,98,7.45,1627954848
97,Graham,US,47.0529,-122.2943,87.01,47,1,4.61,1627954970
98,Zhigansk,RU,66.7697,123.3711,71.67,40,8,6.53,1627954979
99,Xinan,CN,26.72,119.8556,81.54,89,100,2.17,1627954982
100,Te Anau,NZ,-45.4167,167.7167,45.45,77,55,2.19,1627954992
101,Macau,BR,-5.115,-36.6344,76.21,74,15,15.46,1627954997
103,Barra de Tecoanapa,MX,16.5167,-98.75,81.66,85,31,7.14,1627955004
104,Uyuni,BO,-20.4597,-66.825,42.4,31,99,3.65,1627955007
105,Changde,CN,29.0464,111.6783,87.55,73,22,13.06,1627954891
106,Kamaishi,JP,39.2667,141.8833,85.15,77,100,13.58,1627955018
107,Marabu,MY,4.4148,114.0089,80.74,74,40,9.22,1627955020
108,Bilibino,RU,68.0546,166.4372,38.57,64,100,12.57,1627955025
109,Aykhal,RU,66,111.5,73.67,40,86,18.07,1627955028
110,Waingapu,ID,-9.6567,120.2641,84.74,62,68,13.82,1627955039
111,Puerto Escondido,MX,15.85,-97.0667,85.03,65,40,5.75,1627955049
112,Bethel,US,41.3712,-73.414,71.49,80,75,3.44,1627955057
113,Abonnema,NG,4.7084,6.7931,75.36,92,100,3.09,1627955063
114,Oktyabr'skiy,RU,54.4815,53.471,69.66,51,37,5.01,1627955072
115,Komsomol'skiy,RU,43.9783,46.6985,70.75,64,52,4.85,1627955080
116,Kundiawa,PG,-6.0167,144.9667,79.12,52,100,0.72,1627955086
117,Punta Arenas,CL,-53.15,-70.9167,37.51,81,0,27.63,1627955076
119,College,US,64.8569,-147.8028,85.66,39,1,6.91,1627955109
120,Moche,PE,-8.1711,-79.0092,64.58,88,75,9.22,1627955113
121,Micheweni,TZ,-4.9667,39.8333,72.86,82,89,8.66,1627955117
122,Roald,NO,62.5833,6.1333,53.01,81,75,8.05,1627955124
123,Hithadhoo,MV,-0.6,73.0833,81.97,72,99,7.83,1627955125
124,Arkhangelsk,RU,64.5401,40.5433,59.11,94,40,6.71,1627955136
125,Olafsvik,IS,64.8945,-23.7142,52.5,78,100,5.32,1627955142
126,Hamilton,BM,32.2915,-64.778,81,91,20,5.01,1627954928
127,Waipawa,NZ,-41.4122,175.5153,47.03,94,100,21.39,1627955147
129,Cherskiy,RU,68.75,161.3,47.66,53,100,20.15,1627955113
130,Labuan,MY,5.2767,115.2417,82.76,78,20,8.99,1627955171
131,Lavrentiya,RU,65.5833,-171,45.27,99,100,7.65,1627955175
132,Auki,SB,-8.7676,160.7034,83.03,68,94,5.3,1627955184
133,Songkhla,TH,6.8333,100.6667,84.25,70,88,7.85,1627955185
134,San Rafael,AR,-34.6177,-68.3301,55.69,28,0,7.54,1627955195
135,Alta Floresta,BR,-9.8756,-56.0861,74.35,43,34,4.88,1627955197
136,Mantua,CU,22.2889,-84.2844,80.1,79,16,1.07,1627955207
137,Miranda,BR,-20.2406,-56.3783,66.27,54,0,4.72,1627955214
138,Makkah al Mukarramah,SA,21.4267,39.8261,85.8,55,58,5.95,1627955082
139,Tautira,PF,-17.7333,-149.15,82.42,71,85,11.36,1627955222
140,Meulaboh,ID,4.1363,96.1285,80.15,71,45,4.94,1627955229
141,Port Elizabeth,ZA,-33.918,25.5701,53.89,87,0,10.36,1627955238
142,Saint-Pierre,PM,46.7654,-56.1695,59.52,97,100,26.73,1627954983
143,Yankton,US,42.8711,-97.3973,79.05,53,1,10.36,1627955252
144,Rawson,AR,-43.3002,-65.1023,55.76,37,67,9.55,1627955156
145,Moses Lake,US,47.1301,-119.2781,97.48,24,1,6.91,1627955264
146,Balabac,PH,7.9868,117.0645,85.37,74,100,17.56,1627955270
147,Ahipara,NZ,-35.1667,173.1667,55.33,82,37,25.93,1627955264
148,Longyearbyen,SJ,78.2186,15.6401,44.44,70,75,26.46,1627955253
149,São Miguel do Araguaia,BR,-13.275,-50.1628,72.97,34,17,6.89,1627955287
150,Tecpatán,MX,17.1333,-93.3,73.31,91,18,1.41,1627955296
151,Tasiilaq,GL,65.6145,-37.6368,44.76,81,100,1.92,1627955300
